"Fecha del comentario","Nombre del cliente","Número de reserva","Título del comentario","Comentario positivo","Comentario negativo","Puntuación del comentario","Personal","Limpieza","Ubicación","Instalaciones y servicios","Confort","Relación calidad-precio","Respuesta del alojamiento"
"2024-09-23 21:03:47","jacky","4789839671","Très bon choix pour Jerez","Appartement très propre, proche du centre.Indication fournie très complète pour arriver à l appartement. Merci pour les bouteilles qui sont à disposition et très bonne. ","Rien de spécial, seulement difficulté pour trouver une place de parking. ","9","10.0","10.0","7.5","7.5","10.0","10.0","Bon Jacky ,Nous apprécions beaucoup vos commentaires et évaluations.Nous espérons que vous reviendrez bientôt à Jerez, que vous nous ferez à nouveau confiance et que vous nous choisirez comme hébergement.Merci beaucoup encore une fois."
"2024-09-27 22:13:22","María Del Carmen","4541123761","PERFECTO","absolutamente todo. la ubicación, lo acogedor que es. Todo está nuevo y cuidado. Mos dejaron unos vinos de cortesía que es un detallazo. La cama comodisima y la cocina tiene de todo.sin duda que repetiría ","nada","10","10.0","10.0","10.0","10.0","10.0","10.0","Muchas gracias María del Carmen,nos encantaría volver a veros pronto por aquí y que os volvamos a poder dar todo lo que os merecéis.Muchas gracias."
"2024-09-28 21:10:20","francisca Fuensanta","4579874506","","El apartamento tiene. Mucho encanto.  Perfectamente dotado .Decoración muy actuales. Los detalles del dueño   muy buenos: el vino , las chuches  ,el agua fresca en el frigo... El hecho de procurar cápsulas para la cafetera ,infusiones , colacao nos facilitó el desayuno ","","10","10.0","10.0","7.5","10.0","10.0","10.0","Buenas Francisca,muchas gracias por su valoración y comentarios que nos dan fuerza para seguir adelante y mejorar"
"2024-09-28 21:18:06","Jonay","4310057113","","Todo está genial y adecuado para disfrutar y desconectar.  Lo recomiendo.","","9","7.5","7.5","7.5","7.5","7.5","7.5","Muchas gracias Jonay,su comentario y valoraciones nos ayuda a mejorar"
"2024-09-29 22:28:56","Marta","4776431370","","muy amplio y luminoso. las camas comodísimas. todo nuevo y con welcome.drink","todo excelente","9","7.5","10.0","7.5","10.0","10.0","10.0","Muchas gracias Marta,Deseamos que vuelvan pronto y vuelvan a confiar en nosotros para vuestra estancia en Jerez."
"2024-09-29 23:15:00","Lopez Serrano","4937298571","Supero mis expectativas con creces","No soy de poner reseñas pero este establecimiento lo merece.En primer lugar, queria destacar la atención del personal, ha sido perfecto desde el minuto uno, trato inmejorable.En segundo lugar pero no menos destacable, la limpieza, nos han hecho sentir como en casa.El apartamento está nuevo y decorado con gusto, todos los detalles que incluye son los que marcan la diferencia.No sé si alguna vez volveré a Jerez, pero si vuelvo no duraré en escoger de nuevo este apartamento.","Todo me gustó ","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Lucía,Muchas gracias por su comentario y valoración y si vuelve a Jerez estaremos encantados de atenderos." 
"2024-10-06 22:06:31","Orta Sanchez","4904700670","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-10-12 20:49:50","Bernd","4796905820","wunderbar stilvoll gestaltetes Studio an der Altstadt - toll!","Ich hatte dort das erste (von 3) Apartments und das war wunderschön (es ist auch klar das schönste der 3)! Es ist absolut stilvoll ausgestattet und wirklich groß! Es handelt sich aber um einen Raum (Küche/Wohnbereich/Schlafbereich) mit einem schönen  Bad - also um ein Studio. Vor dem Studio befindet sich ein kleiner Tisch in einem schönen, ruhigen Hof, der zu allen 3 Apartments gehört. Alles wurde erst 2024 fertiggestellt und es ist absolut zentral aber dennoch vollkommen ruhig gelegen!Die Besitzer sind sehr, sehr freundlich.In der Nähe gibt es einen kostenfreiem Parkplatz.Zu den Bodegas und der Altstadt kommt man in wenigen Gehminuten.","(alles war toll!)","10","10.0","10.0","10.0","10.0","10.0","10.0","Hallo Bernd,vielen Dank für deine Kommentare und Bewertungen, wir würden uns freuen, dich bald wieder bei uns begrüßen zu dürfen, denn mit Kunden wie dir ist unsere Arbeit sehr einfach und angenehm."
"2024-10-14 08:44:02","MANUEL","4907462245","Todo muy nuevo. Ideal parejas para varios días. ","La limpieza, la atención de los anfitriones y el generoso detalle de bienvenida, el confort en general. ","Para aparcar hay que retirarse unos 150 metros del apartamento pero suele haber plazas libres. En la puerta del establecimiento también se puede aparcar pero es zona reservada a residentes. ","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Manuel,muchas gracias por tus comentarios y valoraciones.Esperamos volver a veros pronto."
"2024-10-14 22:01:40","Marylou","4918462510","Propreté irréprochable, accueillant et bien placé ⭐️⭐️⭐️⭐️","Je pense sincèrement que c'est le meilleur logement dans lequel j'ai été reçu ces dernières années. L'appartement est impeccable, d'une propreté irréprochable. À mon arrivée, j'ai eu la surprise de trouver une bouteille de vin et des bonbons, un geste vraiment attentionné ! Le linge de lit sentait divinement bon, ce qui a ajouté une touche de confort supplémentaire. Je me suis sentie comme à la maison dès les premiers instants. Un grand merci aux hôtes pour cette expérience parfaite, je reviendrai sans hésiter !","Rien","10","10.0","10.0","10.0","10.0","10.0","10.0","Bonjour Marylou,merci beaucoup pour vos commentaires et notes, ils nous remplissent de fierté pour le travail bien fait, permettant à nos clients de se sentir chez eux.Nous serons heureux de vous accueillir à nouveau afin que votre expérience à Jerez atteigne un niveau supérieur.Merci beaucoup." 
"2024-10-18 18:49:07","Perez Soto","4741876323","Cercania","La ubicación es muy buena muy cerca del centro a 10 minutos a pie","","9","10.0","10.0","10.0","10.0","10.0","7.5","Buenas Javier,Gracias por su comentario y valoraciones."
"2024-10-20 21:02:47","Miguel Angel","4480606171","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-10-21 10:44:23","Emilio","4392119135","Apartamento céntrico, muy limpio y acogedor en Jerez. Inmejorable.","Al llegar al apartamento nos llevamos una grata sorpresa por que teníamos algunos de talles de bienvenida como un par de botellitas de Fino, unas golosinas, todo perfecto.","","10","10.0","10.0","10.0","10.0","10.0","7.5","Buenas Emilio,Muchas gracias por vuestros comentarios y valoraciones,esperamos volver a veros pronto."
"2024-10-25 17:03:21","Maria Soledad","4555586809","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-10-28 08:51:14","MDolores","4633102527","Tranquilidad ","Todo","Luz en mesillas noche , la prefiero más cercana, no techo, o que existan las dos posibilidades ","9","7.5","10.0","10.0","10.0","10.0","7.5","Buenas María Dolores,muchas gracias por vuestros comentarios y valoraciones."
"2024-11-05 09:25:50","jose luis","4446294415","Alojamiento muy agradable y recomendable","Cuando llegamos la dueña del apartamento nos dejó aparcar en la puerta y pudimos dejar el coche dos dias alli (sin moverlo, porque se llega a todos los sitios andando).   Nos regalaron como bienvenida dos botellas pequeñas de Jerez y agua.  El apartamento muy espacioso y limpio. La cama super comoda.  Casi nuevo todo.  Bonita decoracion.  Gracias por al atencion que recibimos!","Todo perfecto.","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Jose Luis,os agradecemos y nos congratula vuestros comentarios y valoraciones.Esperamos que volváis pronto para volver a brindaros una experiencia de 10 y que disfrutéis de Jerez en su máximo esplendor "
"2024-11-11 08:19:50","Manuel","4943504420","","Nos  gusto  muchisimo todo .Nos  encanto  el  regalo  de  bienvenida.Apartamento  superlimpio , muy  bien equipado y comodo .Sin duda en  un futuro  intentaremos  volver","Nada , la  mala  suerte  de  coincidir  en  el  tiempo   con un monton de  obras  que  hace  dificil  acceder  en  coche  .","10","10.0","10.0","7.5","10.0","10.0","10.0","Buenas Manuel,te agradecemos vuestros comentarios y valoraciones y esperamos volver a veros pronto."
"2024-11-17 22:02:37","irene","4415047093","","Todo muy limpio, muy coqueto y muchos detalles de bienvenida. La verdad que lo recomiendo al 100%","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Irene,Muchas gracias por tu comentario y valoraciones.Estaremos encantados de que volváis pronto."
"2024-12-01 14:53:46","Cristina Asunción","4575495524","","El alojamiento en general, todo perfecto. Todo muy bien cuidado, nuevo y limpio. El trato de los dueños, excepcional, y sus detalles, todo un acierto. ¡Volveremos!. ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Cristina,muchas gracias por todo, las valoraciones y comentario.Sois las clientas ideales , responsables,honradas y cuidadosas con el  alojamiento,estaremos encantados de volver a daros un alojamiento perfecto para que vuestra estadía y experiencias en Jerez sean sublimes.¡Qué tengáis muy buen día!"
"2024-12-09 00:40:48","Jaime","4659144860","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-12-11 14:07:05","Estibaliz","4678419529","Alojamiento de 10","Recomendable 100%, limpieza, bonita decoración, buena ubicación, cama cómoda y los detalles del anfitrión. Todo perfecto.","Nada","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Estíbaliz ,muchas gracias por su comentario y valoraciones, estaremos encantados de volver a atenderos"
"2024-12-16 08:47:02","Isabel","4532840331","","La amabilidad de María del Mar, la limpieza de los apartamentos y todos los detalles que tenían los alojamientos. Ha sido una estancia de 10.","Nada, estaba todo perfecto.","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Isabel,muchas gracias por vuestros comentarios y valoraciones, y gracias por tu amabilidad y respeto por los apartamentos."
"2024-12-16 11:45:57","Andrea","4532801239","","","","10","10.0","10.0","7.5","10.0","10.0","7.5",""
"2024-12-22 22:36:45","Diego","4964737716","Fenomenal ","Muy buena ubicación, moderno y limpio. ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Diego,muchas gracias por vuestro comentario y valoraciones."
"2025-01-01 17:44:08","Manuel","4301414533","Estancia increible.","Muy limpios y todo nuevo.todo lo necesario para una estancia superior.detalles de bienvenida botellas de vino,zapatillas ,chuches,agua cafe,te,azucar todo genial.labadora con detergente por si lo necesitas.muy buena ubicacion.bar cerca para desayunar.facil la comunicacion y la entrada.Mil gracias hemos estado genial.sera nuestra casa en jerez cuando volvamos.","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Manuel,muchas gracias por vuestros comentarios y valoraciones, esperamos que vuelvan pronto y disfruten de Jerez."
"2025-03-02 13:31:07","Piebe","4891857177","Sfeervol en schoon appartement.","Een prachtig schoon appartement.Ingericht met oog voor detail .Goede bedden.","Niets","10","10.0","10.0","10.0","10.0","10.0","10.0","Bedankt Piebe, voor je beoordelingen en commentaar, we hopen je snel weer te zien."
"2025-03-03 19:40:52","Leticia","4897681423","","Está bien ubicado, limpieza impecable. Todo nuevo y con mucho gusto, acogedor y moderno, repetiría sin duda. Fácil aparcamiento ","","9","10.0","10.0","10.0","10.0","7.5","10.0","Buenas Leticia,gracias por tu comentario y valoraciones, si repetís haremos que vuestra experiencia sea más confortable para que nos deis un 10 en ese aspecto."
"2025-03-12 10:52:37","Luca","4750892824","","Abbiamo soggiornato in questo appartamento e siamo rimasti molto soddisfatti. La posizione è ottima, a circa 8 minuti a piedi dalla cattedrale, il che permette di visitare comodamente la città. All'arrivo abbiamo avuto una piacevole sorpresa: due bottiglie di vino della cantina Tio Pepe, un gesto molto apprezzato. L'appartamento era pulito e ben tenuto, motivo per cui lo consiglio.","Unico aspetto negativo riguarda il cancello di accesso al terrazzo dove si trovano gli appartamenti: si apre solo con la chiave e, al momento del check-out, avendo lasciato la chiave all'interno dell'abitazione, ci siamo trovati bloccati. Per fortuna, c'erano altri turisti accanto a noi che avevano le chiavi, altrimenti non avremmo potuto uscire. Sarebbe utile mettere un cartello di avviso per evitare situazioni simili in futuro.","10","10.0","10.0","10.0","10.0","10.0","10.0","Ciao Luca, grazie mille per le tue valutazioni e commenti.  Per quanto riguarda il piccolo inconveniente chsegnalato hai perfettamente ragione e risolveremo installando un interruttre che permetta l'apertura della porta.Grazie mille, speriamo di rivedervi presto."
"2025-04-04 12:10:45","Pablo","4371941940","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2025-04-09 17:45:03","Keith et Anne-Marie","4471801354","","Confortable bed, nice bathroom. Location was good as we had planned a visit and meal at Bodega Fundador, a 3 min. walking distance.","It rained a lot when we arrived. A doormat would be a good idea at the entrance.Please do not use (too much) chemical scent to perfume the apt. It can give headaches. The window overlooks the street.It wasn't easy to drive to the carpark. Please send the exact GPS/address location.","7","","10.0","7.5","7.5","10.0","5.0","Hello Keith and Anne-Marie, thank you very much for your comments and ratings. We're sorry the weather was so bad during your stay.You're right about the doormat, and we'll consider the air freshener. We hope you come back soon so we can improve your experience."
"2025-04-20 04:54:15","Gabriel","4777462266","Es fantástico ","La amabilidad de las personas y el tratamiento de como nos recibieron, estoy muy contento sin duda sería uno de los sitios donde vendría a pasar una noche de relax con tu pareja o amigo ","No tengo ninguna queja","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Gabriel,muchas gracias por vuestros comentarios y valoraciones,estaremos encantados de volver a atenderos."
"2025-04-27 10:36:00","juan antonio","4458209154","Excelente ","Nos gustó todo todo ,el apartamento de lo mejor ,no le falta un detalle, un 10 en limpieza muy buena ubicación y sobre todo la atención de Ángel y su cuñada espectacular,lo recomiendo 100×100.","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Juan Antonio,gracias por tus palabras, por el comentario y por las valoraciones. Nuestra intención es ofrecerle a nuestros clientes un alojamiento y atención superior para que se sientan como en casa y solo se preocupen de disfrutar el momento.Estaremos encantados de volver atenderles cada vez que lo deseen."
"2025-04-27 21:03:55","Maria Angeles","4707901535","","Como explicarlo para no quedarme corta... un 10 se le queda poca nota para darle a este lugar tan increiblemente bonito, cuidado al mas minimo detalle, es que no hay nada que se le pueda poner un pero o decir que tengan que mejorar. El mejor apartamento sin duda en el que me alojado nunca y el trato del propietario tambien un 10 se le queda corta para darle de nota. INCREIBLE","NADA","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas María Ángeles,gracias a vosotros por vuestro comentario y valoraciones, estaremos encantados de volver a atenderos en un futuro prÃ³ximo."
"2025-04-27 21:53:40","Jose","4353845529","Excelente ","Aunque mi estancia fue breve, pero he de decir que el alojamiento estaba muy limpio, y cuidando mucho pequeños detalles de bienvenida que son de agradecer. El trato muy cordial y afable, muy recomendable. ","","9","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Jose,agradeceros vuestras valoraciones y comentarios y esperamos que vuelvan pronto con más tiempo para disfrutar de nuestros alojamientos."
"2025-04-28 10:17:57","Cipriano","4616579564","Apartamento acogedor en Jerez ","La limpieza y la amplitud,, muy cómodo ","La ubicación, un poco alejado del centro ","9","7.5","10.0","7.5","7.5","10.0","0.0","Buenas Cipriano,gracias por su valoración y comentarios.Respecto al tema de la ubicación,los apartamentos se encuentran en pleno centro histórico de Jerez¿?¿?"
"2025-05-04 20:04:28","Macías Aguilar","4948043995","","Trato magnífico del personal. El apartamento estaba genial","Soy algo especial con los olores y me resultó muy fuerte el olor del ambientador. Entiendo que es algo personal ya que prefiero algo más neutro. Por lo demás, el apartamento, perfecto.","10","10.0","10.0","7.5","10.0","10.0","10.0","Buenas José María,muchas gracias por tus valoraciones y comentarios.Tendremos en cuenta lo del ambientador,aquí estamos para mejorar vuestra experiencia y por eso agradecemos los feedbacks.Esperamos volver a veros pronto y demostraros que aún os podemos sorprender."
"2025-05-08 18:19:51","Marco","4922808928","Non potevo chiedere di più","Posizione comoda, con la possibilità di parcheggiare gratuitamente poco distante e raggiungere il centro a piedi in 10/15 minuti. Organizzazione perfetta: tutte le istruzioni, molto dettagliate, ci sono state inviate (in italiano) in anticipo. Appartamento incantevole: spazioso, molto curato, davvero ottimo. Rapporto q/p assolutamente conveniente.","","10","10.0","10.0","10.0","7.5","10.0","10.0","Ciao Marco, grazie per il tuo commento e le tue valutazioni, anche se avremmo gradito che specificassi come potremmo migliorare le strutture e i servizi per ricevere una valutazione più alta. Offriamo Wi-Fi gratuito ad alta velocità, aria condizionata caldo/freddo, una smart TV con la piattaforma Filmin e altre app per guardare film e serie TV completamente gratis, una cucina completamente attrezzata, caffè e tè, pantofole, lavanderia... tutto gratuito. Cosa ti è mancato? Speriamo che torni presto. Grazie mille."
"2025-05-11 23:43:38","Sarah","4862334114","","Absolutely loved everything about our stay. The apartment was spacious, well appointed and in a peaceful location, within easy walking distance, to bars, restaurants and tourist attractions. Thoroughly recommend this place if you’re in Jerez. ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Hi Sarah, we're very grateful for your comment and ratings. Come back soon, we'll be happy to help."
"2025-05-20 19:58:45","Jose Luis","4384206163","Bonito sitio para ver Jerez","la distribución, el aire fresco que entraba, que tuvieran calentador de agua y variedad de infusiones. La amabilidad del encargado. Lo nuevo y bonito que esta todo y que haya una terracita con sillas.","Las obras y las calles pedregosas, que no había donde colgar la toalla, para la cafetera no había descafeinado con leche.Los mirlos que anidad al lado, se ponen a silbar sin parar a las 6 de la mañana, dicen que es solo en primavera, pero  no me dejaron dormir.","8","10.0","7.5","7.5","10.0","7.5","7.5","Buenas José Luis,Gracias por sus valoraciones y comentarios."
